    "@nakdfashion, Mariska20, mariska.van.es, 2021-10-07",
    "@armedangels, JULIAMEKKES_15, juliamekkes, 2021-10-07",
    "@geurwolkje, MARLOT10, jolielot, 2021-10-07",
    "@idealofsweden, Zoey_looij15, zoey_looij, 2021-10-07",
    "@burgaofficial, MARLIE15, marlie_xx, 2021-10-07",
    "@nakdfashion, roxyoceanblue20, roxysshizzle, 2021-10-07",
    "@posterstore, 35NISA, nisavanbaelen, 2021-10-07",
    "@bangerhead, JASMIJN15, jasmijnmarcus, 2021-10-07",
    "@slazenger_the_new_gen, Naomi20, naomi_veenvliet, 2021-10-07",
    "@da.design__, MASCHA, maschaduijn, 2021-10-07",
    "@tessvfashion, MARTINE10, martinemaureen, 2021-10-07",
    "@nakdfashion, dyonne20, xdyonnex, 2021-10-07",

    "@nakdfashion, 20XBBY7T, jasmijnkremer, 2021-10-08",
    "@nakdfashion, LIS20, lisvanderwijst, 2021-10-08",
    "@nakdfashion, 20XBB5EQ, martaswiggers, 2021-10-08",
    "@idealofsweden, IdealAnna15, a_deruijterx, 2021-10-08",
    "@idealofsweden, DISCOUNT, effi.sxx, 2021-10-08",
    "@veromoda, Deemmx20, deemmx._, 2021-10-08",
    "@fittwear_official, ELLING15, sylvana.elling, 2021-10-08",
    "@giesswein_, BBKIMMUSK, kim.musk, 2021-10-08",
    "@baby_meys, DEBBIE, debbiedhillon, 2021-10-08",
    "@idealofsweden, REB15, rebeccavandenhoek, 2021-10-08",
    "@hellofreshnl, HELLOCHANNAH, channahkoerten, 2021-10-08",
    "@icaniwill, MARLEENH25, marleen.hekkert, 2021-10-08",

    "@bangerhead, chamee15, chameebarkmanx, 2021-10-09",
    "@icaniwill, JESSICAK20, jessicakuijpers, 2021-10-09",
    "@hellofreshnl, HELLOMAXIME45, maximemeiland, 2021-10-09",
    "@nakdfashion, friederich20, verena.friederich, 2021-10-09",
    "@revitaltrax, MELANIE25, meljasmier, 2021-10-09",
    "@armedangels, FLORINE_15, florinecmh, 2021-10-09",
    "@kayasieraden, Sharon15%, sharonvdw__, 2021-10-09",
    "@idealofsweden, BB15VWD_, sharonvdw__, 2021-10-09",
    "@stronger, sharon20, sharonvdw__, 2021-10-09",
    "@socialclubbelgium, INDIA5, indiasuy, 2021-10-09",

    "@koro_nl, Charlotte5, charlottejanssen94, 2021-10-10",
    "@kims.treasures, LOTTE15, lotte.wullink, 2021-10-10",
    "@playerlayer, BASSKP7A25, martaswiggers, 2021-10-10",
    "@vitaminefabriek.nl, FRENDZ15, kimberley_helderop, 2021-10-10",
    "@chiquelle, jasmijn20, jasmijnmarcus, 2021-10-10",
    "@idealofsweden, Liwijnen15, liafailwijnen, 2021-10-10",
    "@icaniwill, ROWENAK20, rowenakonings_, 2021-10-10",
    "@sheinofficial, FWX2274, lisajkoster, 2021-10-10",
    "@dwrslabel, COCO15, cocochloe__, 2021-10-10",
    "@idealofsweden, K15D, kyaradevenyn, 2021-10-10",
    "@ielm_design, CHANNAH60, channahkoerten, 2021-10-10",
    "@idealofsweden, Macyy15, macyymichelle, 2021-10-10",
    "@nakdfashion, 20XBBLJR, melissavijgen, 2021-10-10",

    "@idealofsweden, BBTV1, tessveldkamp, 2021-10-11",
    "@hunkemoller, BBHKMT, tessveldkamp, 2021-10-11",
    "@idealofsweden, NisaVanBaelen15, nisavanbaelen, 2021-10-11",
    "@hellofreshnl, 45HELLONAOMI, naomifinkers, 2021-10-11",
    "@tanrevel, FUTURE, dilansabah, 2021-10-11",
    "@idealofsweden, Deem15x, xdemi___x, 2021-10-11",
    "@idealofsweden, 15kellyha, kellyhamelijnck, 2021-10-11",
    "@bykimstore, freeshipping, kimberlybrands_, 2021-10-11",
    "@nakdfashion, Cynthia20, cynthiavandoorn, 2021-10-11",
    "@idealofsweden, BBSYLE, sylvana.elling, 2021-10-11",
    "@bymusthaves, INDIA15, indiasuy, 2021-10-11",
    "@idealofsweden, BBXDEEMI, deemihendriks, 2021-10-11",
    "@idealofsweden, elisevbennekom15, elisevanbennekom, 2021-10-11",
    "@idealofsweden, Kooiman15, a.nnickk_, 2021-10-11",

    "@armedangels, SHIRLEYVISSER_15, shirleyvisser, 2021-10-12",
    "@stronger, 20BO, boackaert, 2021-10-12",
    "@sheinofficial, AW752, lian_vijfschaft, 2021-10-12",
    "@bymusthaves, CELINE15, celinesmit, 2021-10-12",
    "@nakdfashion, donna20, donnadaizy, 2021-10-12",
    "@thenaplab, demivthuil10, demivthuil, 2021-10-12",
    "@armedangels, FIENVERMEULEN_15, fienvermeulen, 2021-10-12",
    "@robinhoopnl, SASKE15, ikbensaske, 2021-10-12",

    "@nakdfashion, 20XBB6AQ, sylvana.elling, 2021-10-13",
    "@bymusthaves, MARTA15, martaswiggers, 2021-10-13",
    "@nakdfashion, Mariamygoshx20, mariamygosh, 2021-10-13",
    "@zaful, yam18, inspiredbyyam, 2021-10-13",
    "@jotex.nl, ABBEYSEPT30, abbeyhoes, 2021-10-13",
    "@stronger, YARA20, yara.hendriks, 2021-10-13",
    "@gutsgusto, WILENTIEN20, tienvanwil, 2021-10-13",
    "@hunkemoller, BBHKM3FREE, martaswiggers, 2021-10-13",
    "@veromoda, Aukje20, aukjebergman, 2021-10-13",
    "@likeablefashion, AYLA10, xmylifeasayla, 2021-10-13",
    "@lunastore_nl, ROMY10, rmdnbs, 2021-10-13",
    "@posterstore, 35ANNICK, a.nnickk_, 2021-10-13",
    "@nakdfashion, kellyx20, kheeell, 2021-10-13",
    "@nakdfashion, louwaars20, michellelouwaars, 2021-10-13",
    "@nakdfashion, 20debbie, debbiedhillon, 2021-10-13",
    "@heirloom_stay, cynthiaVD10, cynthiavandoorn, 2021-10-13",

    "@musthavejewelry_, KYARA2021, kyaradevenyn, 2021-10-14",
    "@jotex.nl, LIZZYOCT30, lizzyvdligt, 2021-10-14",
    "@veromoda, Loeki20, louisevandermeijs, 2021-10-14",
    "@hellofreshnl, OKTHELLODEMI, xdemi___x, 2021-10-14",
    "@nakdfashion, Yam20, inspiredbyyam, 2021-10-14",
    "@nakdfashion, jasmijnkremerx20, jasmijnkremer, 2021-10-14",
    "@lightinthebox, LSA, lisajkoster, 2021-10-14",
    "@nakdfashion, amberdhaanx20, amberdhaan, 2021-10-14",
    "@nakdfashion, Lolavanpamelenx20, lolavanpamelen, 2021-10-14",
    "@nakdfashion, Annefloor20, annefloorx, 2021-10-14",
    "@romwe_fun, 1Lotte0, lotte.wullink, 2021-10-14",
    "@smartwatchbandennl, DEMIVTHUIL15, demivthuil, 2021-10-14",
    "@desenio, ELIZE35, elizemol, 2021-10-14",

    "@sheinofficial, AW687, hannahdb_, 2021-10-15",
    "@hunkemoller, BBHKMMELANIE30, meljasmier, 2021-10-15",
    "@nakdfashion, 20XBBGMR, mariska.van.es, 2021-10-15",
    "@hellofreshnl, OKTHELLOCOCO, cocochloe__, 2021-10-15",
    "@veromoda, peterina20, xpeterinabroers, 2021-10-15",
    "@nakdfashion, 20SYLVANA20, sylvana.elling, 2021-10-15",
    "@popsocketsnl, BBXALC15, xmylifeasayla, 2021-10-15",
    "@gladskin.eu, SHIRLEY15, shirleyvisser, 2021-10-15",
    "@myproteinnl, FITWITHMARIT, fitwithmarit, 2021-10-15",

    "@joannesstore, STACEY10%, staceeyyx, 2021-10-16",
    "@nakdfashion, 20lisa20, xlisadam, 2021-10-16",
    "@tessvfashion, MARLIE10, marlie_xx, 2021-10-16",
    "@lovalli, FLEUR10, fleurmaas_, 2021-10-16",
    "@nakdfashion, inge20, ingewildenberg, 2021-10-16",
    "@desenio, XTF21, tessveldkamp, 2021-10-16",
    "@lievjewels, TESSV20, tessveldkamp, 2021-10-16",
    "@nakdfashion, 20demi, demiteeuwissen, 2021-10-16",
    "@icaniwill, KUSBIANCA25, kusbianca, 2021-10-16",
    "@bykimstore, KIM15, kimberlybrands_, 2021-10-16",
    "@flsk.original, michelle10, michellelouwaars, 2021-10-16",

    "@bymusthaves, CHARLIE15, charlievangorkumm, 2021-10-17",
    "@idealofsweden, 15lindivh, lindivh, 2021-10-17",
    "@kidsbrandstore, chamee20, chameebarkmanx, 2021-10-17",
    "@tessvfashion, LINDSAY10, lindsaywouterse, 2021-10-17",
    "@hellofreshnl, OKTHELLOJAIMY, jaimy.blom, 2021-10-17",
    "@joannesstore, PASCALLE10%, kuss.pas, 2021-10-17",
    "@stronger, SHIRLEYV20, shirleyvisser, 2021-10-17",
    "@icaniwill, SHARONW20, sharonvdw__, 2021-10-17",

    "@nakdfashion, lisakoster20, lisajkoster, 2021-10-18",
    "@armedangels, BRIDGETMAASLAND_15, bridgetmaasland, 2021-10-18",
    "@joannesstore, Mzlanie10%, mzlanie, 2021-10-18",
    "@joannesstore, LINDSAY10%, lindsaywouterse, 2021-10-18",
    "@the_m_bar, Pascalle15, kuss.pas, 2021-10-18",
    "@idealofsweden, DILIANE15, diliane.kwadijk, 2021-10-18",
    "@armedangels, KAESUTHERLAND_15, kaesutherland, 2021-10-18",
    "@lovetys_official, Lian20, lian_vijfschaft, 2021-10-18",
